p_Name of elected MP,h_Name,p_Birthdate,h_Date of Birth,h_State Name,p_State,p_Twitter,h_Constituency from which I am elected,p_Constituency,h_Party Name,p_Gender,p_Total Assets,h_Social and Cultural Activities,h_Educational Qualifications,h_Countries Visited,h_Permanent Address,p_Positions Held,h_Sports and Clubs,h_Birth Place,h_Profession,p_Income,h_Positions Held,p_Party affiliation,h_Special Interests
S. P. Y. Reddy,Shri S.P.Y. Reddy,6/4/50,4-Jun-50,Andhra Pradesh,Andhra Pradesh,No,Nandyal,Nandyal,Indian National Congress,M,"9,28,71,000",,"B.E. (Mechanical)   Educated at Reginal Engg. College, Warangal, Andhra Pradesh","Germany,  Singapore and U.A.E. (Dubai)","30/726, Bommala Satram,Nandyal, Kurnool Distt. Andhra Pradesh - 518 502 Tels. (08514) 243105, 09848020190,  9440251558 (M)  Fax (08514) 243350, 243340",,"Member, Constitution Club","Ankalamma Cudur, Distt. Cuddapah (Andhra Pradesh)",Industrialist                                               Agriculturist                                               Engineer                                                    Social Worker,"9,28,71,000 9",,Indian National Congress,Public service
Satabdi Roy,Smt. Satabdi Roy,10/5/69,5-Oct-69,West Bengal,West Bengal,No,Birbhum,Birbhum,All India Trinamool Congress,F,"1,31,48,000",,B.A.,"Bangladesh, Canada, Europe,Far East and USA","85, Prince Anwar Shah Road,City High Complex Flat -12 G, Kolkata-33Tels. (03324) 227017 09433025125(M)",,,"Vill. Agarpara, Distt. North 24 Parganas ( West Be",Film Artist                                                 Poet                                                        Producer and Director                                       Writer,"1,31,48,000 1",,All India Trinamool Congress,"Writing poems; doing glass paintings,"
Tufani Saroj,Shri Tufani Saroj,7/2/56,2-Jul-56,Uttar Pradesh,Uttar Pradesh,No,Machhlishahr,Machhlishahr,Samajwadi Party,M,"53,36,163",,"B.A.   Educated at Baldeo Degree College, Baragaon, Varanasi, Uttar Pradesh ",,"Vill. Katharwa, P.O. Karkhiyaw,District Varanasi Uttar PradeshTels. (0542) 2627355 9450956826 (M)",,,"Katharwa, P.O. Kerkhiyaw, Varanasi (Uttar Pradesh)",,"53,36,163 53 L",,Samajwadi Party,
Bal Kumar Patel,Shri Bal Kumar Patel,1/1/64,1-Jan-64,Uttar Pradesh,Uttar Pradesh,No,Mirzapur,Mirzapur,Samajwadi Party,M,"2,29,78,000",,"Intermediate   Educated at Bhauri Intermediate College,  Chitrakoot, Uttar Pradesh",,"(i) Village - Devkali, Janpad - ChitrakootUttar PradeshTel. (05442) 223571",,,"Devkali, Chitrakoot (Uttar Pradesh)",,"2,29,78,000 2",,Samajwadi Party,Agriculture and social service
Maheshwar Hazari,Shri Maheshwar Hazari,#N/A,9-Oct-62,Bihar,Bihar,No,Samastipur,Samastipur,Janata Dal (United),M,"66,94,921",,"B.A. Educated at V.R.V. College, Samastipur,Bihar",,"Village - Chakmahi Muzari, P.O. - Shripur Gahar, Via - Elmas Nagar,Distt. - Samastipur, BiharTels. (0612) 2270119, 09431245259 (M)",,Cricket and kabaddi,"Vill. Chakmahimuzari, Distt. Samastipur (Bihar)",,"66,94,921 66 L",,Janata Dal (United),Social work
Rajnath Singh,Shri Rajnath Singh,7/10/51,10-Jul-51,Uttar Pradesh,Uttar Pradesh,https://twitter.com/BJPRajnathSingh,Ghaziabad,Ghaziabad,Bharatiya Janata Party,M,"1,45,36,703",,"M.Sc. (Physics)  Educated at Gorakhpur University,Gorakhpur, Uttar Pradesh",,"04, Kalidas Marg,Lucknow, Uttar PradeshTel. (0522) 2236338",,,"Vill. Bhabhora, Distt. Chandauli ( Uttar Pradesh)",,"1,45,36,703 1",,Bharatiya Janata Party,
Solanki Dinubhai Boghabhai,Shri Dinubhai Boghabhai Solanki,#N/A,9-Feb-57,Gujarat,Gujarat,No,Junagadh,Junagadh,Bharatiya Janata Party,M,"1,94,60,865",,B.A.,,"`Manghar`, Devli Road, Kodinar, Tal. KodinarDistt. Junagarh - 362720 GujaratTels. (02795) 220101, 220111 Fax.(02795) 223138",,,"Kodimar, Distt. Junagarh (Gujarat)",,"1,94,60,865 1",,Bharatiya Janata Party,Agriculture
Sanjay Jaiswal,Dr. Sanjay Jaiswal,29/11/1965,29-Nov-65,Bihar,Bihar,No,Paschim Champaran,Paschim Champaran,Bharatiya Janata Party,M,"1,07,51,454","Club President, Lions Club, Bettiah; Zone Chairman, Lions Club International; Secretary,  Indian Medical Association, Distt. West Champaran","M.B.B.S., M.D. (General Medicine) Educated at Patna Medical College and Darbhanga Medical College, Bihar","Bhutan, China, Germany, Hong Kong, Israel, Malaysia, Nepal, Spain, Thailand and U.S.A.","Shivam Hospital, Dr. M.P. Jaiswal PathBettiah - 845 438  BiharTelefax. (06254) 242868, 246203, 09431212008 (M)",,"Table tenis, badminton and swiming (won many awards in school and college life)",Patna (Bihar),,"1,07,51,454",,Bharatiya Janata Party,"Organising  medical camps and upliftment of S.C., S.T. and people below poverty line"
Ghansyam Anuragi,Shri Ghanshyam Anuragi,15/12/1972,15-Dec-72,Uttar Pradesh,Uttar Pradesh,No,Jalaun,Jalaun,Samajwadi Party,M,"61,25,833","State President, Kosi Samaj (UP) and Member, Red Cross, promoting folk dances and song/cultural activities of Bundelkhand.","M.A.(Acharya),LL.B.Educated at Sampoornanand Sanskrit Vishwavidyalaya, Varanasi and Bundelkhand University, Jhansi, Uttar Pradesh",,"3802, Patel Nagar, Urai,Distt. Jalaun,  Uttar PradeshTels. (0516) 2254666, 09415144666 (M)",,"Wrestling, kabbadi, volleyball and daily exercise","Vill.Khera Shilajit,  Hamirpur (Uttar Pradesh)",,"61,25,833 61 L",,Samajwadi Party,"Social service, woring for promotion of Scientific Agriculture in rural areas, economical upliftment for economically weaker section of the society, promotion of primary and higher education in rural areas, interacting with people regularly and helping them to sort out their problems."
Suresh Kalmadi,Shri Suresh Kalmadi,5/1/44,1-May-44,Maharashtra,Maharashtra,https://twitter.com/kalmadisuresh,Pune,Pune,Indian National Congress,M,"12,81,65,624","</>Chairman</I> (i) Pune Festival Committee; (ii) Pune International Marathon; and (iii) Maharashtra Tourism & Development Corporation, 1988-89","Graduate Educated at Fergusson College, Pune, Graduated from National Defence Academy, Kharakvasla under Air Force Flying College,Jodhpur and Allahabad",Widely travelled,"Kalmadi House, 42/8 , Dr. Ketkar Road,Erandvane, Pune - 411 004, MaharashtraTels. (020) 25433033 09811200122 (M) Fax. (020) 25433072",,"<I>President</I> (i) Indian Olympic Association since 1996; (ii) Asian Athletics Association since 2000; and (iii) Athletics Federation of India, 1987-2006; <I>Chairman</I> (i) Commonwealth Games Organising Committee, 2010; (ii) National Games, 1994 and (iii) Afro-Asian Games, 2003; (iv) Pune Marathon and Pune Festival; (v) Pune  Informaton Techonology and Biotechnology Conference of Pune Vyaspeeth for more than 8 years; <I>Council Member</I> International Association of Atheletics Federations since 2001; and <I>Patron</I>  Nehru Bal Sangh",Madras (Tamil Nadu),,"12,81,65,624 1",,Indian National Congress,"Flying, environment, tourism, defence & sports"
